시군구코드,업종코드,년도,업소일련번호,업종명,허가신고일,업소명,소재지도로명,소재지지번,영업장면적(㎡),영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업구분,폐업사유,업태명,지상_부터,지상_까지,지하_부터,지하_까지,총층수,교육수료일자,모범음식점여부,급수시설,업소위치,종업원남,종업원여,급식소종류,평균급식인원수,최대급식인원수,1일급식인원수,일인당평균급식비,운영형태,영업장조리장면적(㎡),영업장객실면적(㎡),영업장무도장면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡),타업소공동화장실면적(㎡),영업장탈의실면적(㎡),영업장객석면적(㎡),작업장면적(㎡),검사실면적(㎡),진열(판매)대면적(㎡),창고(보관소)면적(㎡),허가(신고)번호,참고사항,조건부허가시작일,조건부허가종료일,조건부허가신고사유,신고조건,내외국인구분,국적
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,perm_nt_ymd,upso_nm,site_addr_rd,site_addr,trdp_area,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_gbn_nm,dcb_why,snt_uptae_nm,bdng_jisg_flr_num,bdng_jisg_flr_num2,bdng_under_flr_num,bdng_under_flr_num2,bdng_tot_flr_num,ed_fin_ymd,ge_eh_yn,grade_facil_gbn,site_loc_gbn,eip_man,eip_woman,ptsof_sort,ordtm_ptsof_avg,ordtm_ptsof_max,one_ptsof_stf,avg_food_amt,mng_gbn,trdp_area_jorijang,trdp_area_room,trdp_area_dance,trdp_area_etc,toil_area_upso,toil_etc_area_upso,trdp_area_dress_room,trdp_area_guest_seat,area_wrk,area_isp,trdp_disp_sil_ar,trdp_ware_depo_ar,perm_nt_no,rfn_item,cn_perm_stdt,cn_perm_enddt,cn_perm_nt_sayu,perm_nt_cn,kor_frgnr_gbn,ntn
3100000,102,2000,06842,유흥주점영업,20000426,솜사탕,서울특별시 노원구 노해로75길 20-21, (상계동,2층),서울특별시 노원구 상계동  706번지 1호  2층,160.68,20160405,,20000426,상계6.7동,,,,룸살롱,,,,,,,비대상,상수도전용,,0,0,,,,,,,11.04,98.43,0.00,51.21,0.00,0.00,0.00,0.00,,,,,3100000-102-2000-06842,,,,,,내국인,대한민국
3100000,102,2000,07041,유흥주점영업,20000810,럭셔리,서울특별시 노원구 노해로 457, 은성빌딩 지하1층 (상계동),서울특별시 노원구 상계동  709번지 1호  은성빌딩,176.80,20140627,,20000810,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,16.00,86.52,0.00,0.00,0.00,12.70,4.50,69.78,,,,,3100000-102-2000-07041,,,,,,내국인,대한민국
3100000,102,2001,07455,유흥주점영업,20010328,아일랜드,서울특별시 노원구 노해로77길 22, 3층 (상계동, 노블레스관광호텔),서울특별시 노원구 상계동  711번지 9호  노블레스관광호텔 3층,703.56,20130319,,20010328,상계6.7동,20141216,행정처분,행정처분,룸살롱,3,3,,,,,비대상,,,,,,,,,,,49.63,642.10,0.00,0.00,0.00,0.00,11.83,0.00,,,,,3100000-102-2001-07455,,,,,,내국인,대한민국
3100000,102,2001,07699,유흥주점영업,20010720,애플,서울특별시 노원구 노해로 492, 프린스빌딩 지하1층 (상계동),서울특별시 노원구 상계동  724번지 2호  프린스빌딩,,20161108,,20010720,상계6.7동,,,,룸살롱,,,,,,,비대상,상수도전용,,,,,,,,,,12.11,82.47,,232.80,9.60,,34.05,,,,,,3100000-102-2001-07699,,,,,,내국인,대한민국
3100000,102,2001,07700,유흥주점영업,20011115,비전,서울특별시 노원구 동일로 1393, 지하층 지하2호 (상계동),서울특별시 노원구 상계동  730번지 5호  -지하2,,20130108,,20011115,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,7.25,28.25,,,,10.00,,35.20,,,,,3100000-102-2001-07700,,,,,,내국인,대한민국
3100000,102,2002,00001,유흥주점영업,20020325,에스라인,서울특별시 노원구 노해로77길 14-7, (상계동),서울특별시 노원구 상계동  710번지 2호  ,92.39,20121211,,20020325,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,8.75,34.18,0.00,24.26,0.00,6.00,0.00,25.20,0.00,0.00,,,3100000-102-2002-00001,,,,,,내국인,대한민국
3100000,102,2002,00002,유흥주점영업,20020326,신애플,서울특별시 노원구 노해로 492, (상계동,지하 1층),서울특별시 노원구 상계동  724번지 2호  지하 1층,328.18,20161108,,20020326,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,7.50,254.55,0.00,66.13,0.00,9.00,0.00,0.00,0.00,0.00,,,3100000-102-2002-00002,,,,,,내국인,대한민국
3100000,102,2002,00003,유흥주점영업,20020813,오픈로드OPENROAD,서울특별시 노원구 노해로75길 14-25, (상계동,지하1층),서울특별시 노원구 상계동  707번지 3호  지하1층,,20190620,,20020813,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,1.80,41.41,,16.80,,4.00,,,,,,,3100000-102-2002-00003,,,,,,내국인,대한민국
3100000,102,2002,00003,유흥주점영업,20020813,글로리아,서울특별시 노원구 노해로75길 14-25, (상계동,지하1층),서울특별시 노원구 상계동  707번지 3호  지하1층,,20190620,,20020813,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,1.80,41.41,,16.80,,4.00,,,,,,,3100000-102-2002-00003,,,,,,내국인,대한민국
3100000,102,2002,00003,유흥주점영업,20020813,오픈로드OPENROAD,서울특별시 노원구 노해로75길 14-25, (상계동,지하1층),서울특별시 노원구 상계동  707번지 3호  지하1층,,20181213,,20020813,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,1.80,41.41,,16.80,,4.00,,,,,,,3100000-102-2002-00003,,,,,,내국인,대한민국
3100000,102,2002,00003,유흥주점영업,20020813,글로리아,서울특별시 노원구 노해로75길 14-25, (상계동,지하1층),서울특별시 노원구 상계동  707번지 3호  지하1층,,20181213,,20020813,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,1.80,41.41,,16.80,,4.00,,,,,,,3100000-102-2002-00003,,,,,,내국인,대한민국
3100000,102,2002,00003,유흥주점영업,20020813,오픈로드OPENROAD,서울특별시 노원구 노해로75길 14-25, (상계동,지하1층),서울특별시 노원구 상계동  707번지 3호  지하1층,,20180122,,20020813,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,1.80,41.41,,16.80,,4.00,,,,,,,3100000-102-2002-00003,,,,,,내국인,대한민국
3100000,102,2002,00003,유흥주점영업,20020813,글로리아,서울특별시 노원구 노해로75길 14-25, (상계동,지하1층),서울특별시 노원구 상계동  707번지 3호  지하1층,,20180122,,20020813,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,1.80,41.41,,16.80,,4.00,,,,,,,3100000-102-2002-00003,,,,,,내국인,대한민국
3100000,102,2002,00003,유흥주점영업,20020813,오픈로드OPENROAD,서울특별시 노원구 노해로75길 14-25, (상계동,지하1층),서울특별시 노원구 상계동  707번지 3호  지하1층,,20020813,,20020813,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,1.80,41.41,,16.80,,4.00,,,,,,,3100000-102-2002-00003,,,,,,내국인,
3100000,102,2002,00003,유흥주점영업,20020813,글로리아,서울특별시 노원구 노해로75길 14-25, (상계동,지하1층),서울특별시 노원구 상계동  707번지 3호  지하1층,,20020813,,20020813,상계6.7동,,,,룸살롱,,,,,,,비대상,,지하,,,,,,,,,1.80,41.41,,16.80,,4.00,,,,,,,3100000-102-2002-00003,,,,,,내국인,
3100000,102,2002,00004,유흥주점영업,20020926,청노루,서울특별시 노원구 노해로75길 14-13, (상계동),서울특별시 노원구 상계동  703번지 3호  ,,20080128,,20020926,상계6.7동,20150720,자진폐업,계약만료,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,4.51,46.50,,13.47,,10.00,,,,,,,3100000-102-2002-00004,,,,,,내국인,대한민국
3100000,102,2003,00001,유흥주점영업,20031006,와와,서울특별시 노원구 노해로75길 14-22, (상계동),서울특별시 노원구 상계동  708번지 2호  ,,20150610,,20031006,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,상수도전용,지하,0,0,,,,,,,2.60,77.36,,30.53,,5.00,,,,,,,3100000-102-2003-00001,,,,,,내국인,대한민국
3100000,102,2003,00002,유흥주점영업,20031030,MBC가요장,서울특별시 노원구 노해로75길 14-12, (상계동,유남빌딩 지하),서울특별시 노원구 상계동  704번지 3호  유남빌딩 지하,,20150211,,20031030,상계6.7동,,,,룸살롱,0,0,1,1,0,,비대상,,지하,0,0,,,,,,,9.00,72.65,,20.18,,5.00,,,,,,,3100000-102-2003-00002,,,,,,내국인,대한민국
3100000,102,2003,00003,유흥주점영업,20031108,엠(M)노래주점,서울특별시 노원구 노해로 490, (상계동),서울특별시 노원구 상계동  724번지 1호  ,,20170822,,20031108,상계6.7동,,,,룸살롱,,,,,,,비대상,,지상,,,,,,,,,5.00,45.72,,31.33,,10.00,,,,,,,3100000-102-2003-00003,,,,,,내국인,대한민국
3100000,102,2005,00001,유흥주점영업,20050629,SBS노래바,서울특별시 노원구 노해로75길 14-18, 2층 (상계동, 도영빌딩),서울특별시 노원구 상계동  708번지  ,67.60,20170925,,20050629,상계6.7동,,,,룸살롱,0,0,0,0,0,,비대상,,지상2층이상,0,0,,,,,,,6.67,40.92,0.00,20.01,0.00,20.00,0.00,0.00,0.00,0.00,,,3100000-102-2005-00001,,,,,,내국인,대한민국
3100000,102,2005,00002,유흥주점영업,20051102,청춘포차,서울특별시 노원구 노해로77길 22, 지하2층 (상계동),서울특별시 노원구 상계동  711번지 9호  지하2층,940.07,20130528,,20051102,상계6.7동,,,,관광호텔나이트(디스코),,,,,,,비대상,,지하,,,,,,,,,72.57,123.46,94.16,26.40,58.08,0.00,0.00,565.40,0.00,0.00,,,3100000-102-2005-00002,,,,,,내국인,대한민국
